topic_0,topic_1,topic_2,topic_3,topic_4,label
0.013377421,0.9462682,0.013424189,0.013391759,0.013538483,alcohol_0
0.025055287,0.02604278,0.025055958,0.02536771,0.89847827,alcohol_1
0.01339003,0.0134138325,0.0134868035,0.9463456,0.013363736,alcohol_1
0.033706367,0.6885681,0.20828323,0.03594327,0.03349902,alcohol_1
0.0154273575,0.015508124,0.015443998,0.93814695,0.015473542,alcohol_1
0.028707204,0.884756,0.028719883,0.028844073,0.028972814,alcohol_0
0.05002749,0.7993934,0.050314665,0.050003268,0.050261166,alcohol_0
0.012647684,0.0126085915,0.01263894,0.9495394,0.012565328,alcohol_1
0.012046596,0.9517654,0.011898607,0.012060519,0.0122288875,alcohol_0
0.0154460175,0.3937794,0.015628751,0.5593673,0.015778571,alcohol_0
0.033547357,0.86574966,0.03345921,0.03346928,0.033774473,alcohol_0
0.02894753,0.88311577,0.029202156,0.029093478,0.029641088,alcohol_0
0.016721474,0.017315354,0.016865227,0.9323357,0.016762285,alcohol_1
0.040005043,0.83899087,0.04007631,0.04063702,0.04029076,alcohol_0
0.025447866,0.35664886,0.56674874,0.025477324,0.025677204,alcohol_1
0.008094727,0.96751547,0.008123585,0.008107396,0.00815885,alcohol_0
0.040562615,0.04025863,0.04020659,0.8389536,0.040018547,alcohol_0
0.066673785,0.73224866,0.066727564,0.06722392,0.06712606,alcohol_0
0.04060981,0.837247,0.040312063,0.041704953,0.040126134,alcohol_1
0.04007952,0.04090925,0.040128574,0.8386303,0.040252324,alcohol_0
0.0050084507,0.566112,0.004983762,0.004937642,0.41895822,alcohol_0
0.018655624,0.5747342,0.018383844,0.019089889,0.36913648,alcohol_0
0.008259843,0.47922802,0.008149032,0.13841835,0.36594474,alcohol_0
0.01671392,0.9330419,0.016696937,0.016774729,0.016772568,alcohol_0
0.026025243,0.025673218,0.025433995,0.89737636,0.025491208,alcohol_1
0.004212711,0.17747724,0.033228587,0.004225031,0.78085643,alcohol_0
0.011378157,0.95478815,0.011353317,0.011277834,0.011202568,alcohol_1
0.15900268,0.51426995,0.12233531,0.012702377,0.19168967,alcohol_0
0.011340098,0.011353597,0.01140171,0.16222148,0.8036831,alcohol_1
0.0059927907,0.35860533,0.006047857,0.0059800595,0.623374,alcohol_0
0.018522402,0.018956076,0.018428758,0.018402483,0.92569023,alcohol_0
0.012012395,0.9522015,0.011909458,0.0119947735,0.011881845,alcohol_1
0.004818117,0.39828524,0.0048201387,0.5872329,0.004843602,alcohol_1
0.013449885,0.40395066,0.013420975,0.013447399,0.55573106,alcohol_0
0.025044166,0.642286,0.026403597,0.025468063,0.28079814,alcohol_1
0.025053393,0.0250011,0.02500195,0.8998761,0.025067423,alcohol_1
0.0114123635,0.95467097,0.011284781,0.01124945,0.011382492,alcohol_0
0.7786822,0.17398164,0.015446782,0.016002133,0.015887238,alcohol_0
0.88311654,0.029207565,0.029271469,0.029721763,0.028682692,alcohol_0
