text,source,label,tokens,lda_topic
"1- http://www2.potsdam.edu/hansondj/DrivingIssues/1061319886.html 
Alcohol as a Cause of Traffic Crashes 
by David J. Hanson, Ph.D. 
Alcohol-related traffic crashes are not necessarily caused by alcohol. Many are, but no one 
knows the exact proportion. 
There is overwhelming evidence that 
1. alcohol adversely affects driving-related skills such as vision, reaction time, judgment, 
and the ability to divide attention, and 
2. intoxication decreases driving performance. 
It is also clear that drinking drivers who crash are similar in many ways to sober drivers who 
crash. Both groups are disproportionately young, male, single, suffer from alcohol or drug 
problems, and are characterized by aggression, hostility or other “undesirable” attitudes and 
personality traits. 
Drunk drivers don’t become model drivers when sober. Even when completely sober, those 
who sometimes drive drunk are at high risk of being involved in traffic accidents. But there’s 
every reason to believe that alcohol frequently contributes to crashes. 
One technique that demonstrates this is called responsibility analysis. By examining multiple-
vehicle crash reports without knowledge of drivers’ blood alcohol concentrations (BACs), 
researchers estimate the degree to which each driver was responsible for his or her crash. In a 
sample of injured drivers in Monroe County, NY, it was estimated that 34-43% of sober 
drivers were responsible compared to 74-90% of intoxicated drivers (BAC of 0.10 or higher). 
1 
A large study of 1,882 fatally injured drivers in several states concluded that 68% of sober 
drivers and 94% of intoxicated drivers (0.10 BAC or higher) were responsible for their 
crashes. The responsibility rates were higher in this study, which included single vehicle 
crashes, largely because drivers in single vehicle crashes are almost always deemed",alcohol,alcohol_0,"['http', 'alcohol', 'cause', 'traffic', 'crashes', 'david', 'hanson', 'traffic', 'crashes', 'necessarily', 'caused', 'alcohol', 'many', 'one', 'knows', 'exact', 'proportion', 'overwhelming', 'evidence', 'alcohol', 'adversely', 'affects', 'skills', 'vision', 'reaction', 'time', 'judgment', 'ability', 'divide', 'attention', 'intoxication', 'decreases', 'driving', 'performance', 'also', 'clear', 'drinking', 'drivers', 'crash', 'similar', 'many', 'ways', 'sober', 'drivers', 'crash', 'groups', 'disproportionately', 'young', 'male', 'single', 'suffer', 'alcohol', 'drug', 'problems', 'characterized', 'aggression', 'hostility', 'undesirable', 'attitudes', 'personality', 'traits', 'drunk', 'drivers', 'become', 'model', 'drivers', 'sober', 'even', 'completely', 'sober', 'sometimes', 'drive', 'drunk', 'high', 'risk', 'involved', 'traffic', 'accidents', 'every', 'reason', 'believe', 'alcohol', 'frequently', 'contributes', 'crashes', 'one', 'technique', 'demonstrates', 'called', 'responsibility', 'analysis', 'examining', 'vehicle', 'crash', 'reports', 'without', 'knowledge', 'drivers', 'blood', 'alcohol', 'concentrations', 'bacs', 'researchers', 'estimate', 'degree', 'driver', 'responsible', 'crash', 'sample', 'injured', 'drivers', 'monroe', 'county', 'ny', 'estimated', 'sober', 'drivers', 'responsible', 'compared', 'intoxicated', 'drivers', 'bac', 'higher', 'large', 'study', 'fatally', 'injured', 'drivers', 'several', 'states', 'concluded', 'sober', 'drivers', 'intoxicated', 'drivers', 'bac', 'higher', 'responsible', 'crashes', 'responsibility', 'rates', 'higher', 'study', 'included', 'single', 'vehicle', 'crashes', 'largely', 'drivers', 'single', 'vehicle', 'crashes', 'almost', 'always', 'deemed']",2
"Why Is Drugged Driving Hazardous? 
The effects of specific drugs of abuse differ depending on how they act in the brain, but all 
impair faculties necessary for the safe operation of a vehicle. These faculties include motor 
skills, balance and coordination, perception, attention, reaction time, and judgment. Even 
small amounts of some drugs can have a measurable effect on driving ability. 
How Many People Take Drugs and Drive? 
According to the 2012 National Survey on Drug Use and Health (NSDUH), an estimated 10.3 
million people aged 12 or older (or 3.9 percent of adolescents and adults) reported driving 
under the influence of illicit drugs during the year prior to being surveyed. This was higher 
than the rate in 2011 (3.7percent) and lower than the rate in 2002 (4.7 percent). By 
comparison, in 2012, an estimated 29.1 million persons (11.2 percent) reported driving under 
the influence of alcohol at least once in the past year. (This percentage has dropped since 
2002, when it was 14.2 percent.) 
According to the National Highway Traffic Safety Administration’s (NHTSA) 2007 National 
Roadside Survey, more than 16 percent of weekend, nighttime drivers tested positive for 
illegal, prescription, or over-the-counter drugs. More than 11 percent tested positive for illicit 
drugs. 
According to NSDUH data, men are more likely than women to drive under the influence of 
an illicit drug or alcohol. And young adults aged 18 to 25 are more likely to drive after taking 
drugs than other age groups. 
How Often Does Drugged Driving Cause Accidents? 
It is hard to measure the exact contribution of drug intoxication to driving accidents, because 
blood tests for drugs other than alcohol are inconsistently performed, and many drivers who",alcohol,alcohol_0,"['drugged', 'driving', 'hazardous', 'effects', 'specific', 'drugs', 'abuse', 'differ', 'depending', 'act', 'brain', 'impair', 'faculties', 'necessary', 'safe', 'operation', 'vehicle', 'faculties', 'include', 'motor', 'skills', 'balance', 'coordination', 'perception', 'attention', 'reaction', 'time', 'judgment', 'even', 'small', 'amounts', 'drugs', 'measurable', 'effect', 'driving', 'ability', 'many', 'people', 'take', 'drugs', 'drive', 'according', 'national', 'survey', 'drug', 'use', 'health', 'nsduh', 'estimated', 'million', 'people', 'aged', 'older', 'percent', 'adolescents', 'adults', 'reported', 'driving', 'influence', 'illicit', 'drugs', 'year', 'prior', 'surveyed', 'higher', 'rate', 'lower', 'rate', 'percent', 'comparison', 'estimated', 'million', 'persons', 'percent', 'reported', 'driving', 'influence', 'alcohol', 'least', 'past', 'year', 'percentage', 'dropped', 'since', 'percent', 'according', 'national', 'highway', 'traffic', 'safety', 'administration', 'nhtsa', 'national', 'roadside', 'survey', 'percent', 'weekend', 'nighttime', 'drivers', 'tested', 'positive', 'illegal', 'prescription', 'drugs', 'percent', 'tested', 'positive', 'illicit', 'drugs', 'according', 'nsduh', 'data', 'men', 'likely', 'women', 'drive', 'influence', 'illicit', 'drug', 'alcohol', 'young', 'adults', 'aged', 'likely', 'drive', 'taking', 'drugs', 'age', 'groups', 'often', 'drugged', 'driving', 'cause', 'accidents', 'hard', 'measure', 'exact', 'contribution', 'drug', 'intoxication', 'driving', 'accidents', 'blood', 'tests', 'drugs', 'alcohol', 'inconsistently', 'performed', 'many', 'drivers']",3
"• 
If you’re hosting a party where alcohol will be served, remind your guests to plan 
ahead and designate their sober driver; offer alcohol-free beverages; and make sure all 
guests leave with a sober driver.",alcohol,alcohol_0,"['hosting', 'party', 'alcohol', 'served', 'remind', 'guests', 'plan', 'ahead', 'designate', 'sober', 'driver', 'offer', 'beverages', 'make', 'sure', 'guests', 'leave', 'sober', 'driver']",2
"Data Findings 
In 2010 there were 15 suspected DUI cases where blood was taken, and nine of these 
individuals contained alcohol in their systems. 
Eight Road Traffic Fatalities that same year had alcohol in their systems, with documented 
injuries ranging from sub cranial or sub dural hemorrhaging to blunt impact or chest and 
abdominal trauma.",alcohol,alcohol_1,"['data', 'findings', 'suspected', 'dui', 'cases', 'blood', 'taken', 'nine', 'individuals', 'contained', 'alcohol', 'systems', 'eight', 'road', 'traffic', 'fatalities', 'year', 'alcohol', 'systems', 'documented', 'injuries', 'ranging', 'sub', 'cranial', 'sub', 'dural', 'hemorrhaging', 'blunt', 'impact', 'chest', 'abdominal', 'trauma']",3
"Drinking and driving is one of the main causes of road crashes worldwide. In high-income 
countries about 20% of fatally injured drivers have excess alcohol in their blood, while in 
some low- and middle-income countries these figures may be up to 69%. Effective drinking 
and driving programmes have the potential to save thousands of lives, and was identified by",alcohol,alcohol_0,"['drinking', 'driving', 'one', 'main', 'causes', 'road', 'crashes', 'worldwide', 'countries', 'fatally', 'injured', 'drivers', 'excess', 'alcohol', 'blood', 'countries', 'figures', 'may', 'effective', 'drinking', 'driving', 'programmes', 'potential', 'save', 'thousands', 'lives', 'identified']",2
"Friday, 22 November 2013 20:00 
A new study by the Department of Health (DOH) confirms that alcohol plays a major role in 
Bermuda’s road traffic fatalities. 
The study, entitled, The Influence of Alcohol in Road Traffic Accidents and Fatalities in 
Bermuda over the Past Three Years also found that there is a correlation between heart 
disease and excessive or prolonged alcohol consumption.  The findings of the study were 
made available for the Annual Meeting of the Bermuda Drug Information Network (BerDIN) 
on October 24th 2013.",alcohol,alcohol_1,"['friday', 'november', 'new', 'study', 'department', 'health', 'doh', 'confirms', 'alcohol', 'plays', 'major', 'role', 'bermuda', 'road', 'traffic', 'fatalities', 'study', 'entitled', 'influence', 'alcohol', 'road', 'traffic', 'accidents', 'fatalities', 'bermuda', 'past', 'three', 'years', 'also', 'found', 'correlation', 'heart', 'disease', 'excessive', 'prolonged', 'alcohol', 'consumption', 'findings', 'study', 'made', 'available', 'annual', 'meeting', 'bermuda', 'drug', 'information', 'network', 'berdin', 'october']",3
"Circumstances around sudden deaths were alcohol or alcohol and drugs were confirmed 
documented homicide, Ethanol cirrhosis, homicide, found unresponsive and heart disease. 
They were all noted to be male. 
Conclusion 
From the review of the data it can be seen that alcohol plays a major role in RTFs. The cases 
of DUI, where venous blood is drawn and analyzed, can be thought of as those who have just 
missed being a RTF. 
This study suggests that chronic alcohol abuse is associated with an increased risk of sudden 
death. Frequently listed pathology findings include heart disease, fatty liver [ethanol cirrhosis] 
and heart failure. These findings are all well documented in literature in connection with cases 
of prolonged or excessive alcohol consumption [link]. 
Most of Bermuda’s RTFs were single vehicle accidents which took place late at night or in 
the early hours in the morning. It is important to underscore that RTFs that occurred during 
the day did not contain any alcohol. 
The World Health Organization provides well documented information on the Global 
Information System on Alcohol and Health monitoring trends on alcohol related harm. [link] 
Comments",alcohol,alcohol_1,"['circumstances', 'around', 'sudden', 'deaths', 'alcohol', 'alcohol', 'drugs', 'confirmed', 'documented', 'homicide', 'ethanol', 'cirrhosis', 'homicide', 'found', 'unresponsive', 'heart', 'disease', 'noted', 'male', 'conclusion', 'review', 'data', 'seen', 'alcohol', 'plays', 'major', 'role', 'rtfs', 'cases', 'dui', 'venous', 'blood', 'drawn', 'analyzed', 'thought', 'missed', 'rtf', 'study', 'suggests', 'chronic', 'alcohol', 'abuse', 'associated', 'increased', 'risk', 'sudden', 'death', 'frequently', 'listed', 'pathology', 'findings', 'include', 'heart', 'disease', 'fatty', 'liver', 'ethanol', 'cirrhosis', 'heart', 'failure', 'findings', 'well', 'documented', 'literature', 'connection', 'cases', 'prolonged', 'excessive', 'alcohol', 'consumption', 'link', 'bermuda', 'rtfs', 'single', 'vehicle', 'accidents', 'took', 'place', 'late', 'night', 'early', 'hours', 'morning', 'important', 'underscore', 'rtfs', 'occurred', 'day', 'contain', 'alcohol', 'world', 'health', 'organization', 'provides', 'well', 'documented', 'information', 'global', 'information', 'system', 'alcohol', 'health', 'monitoring', 'trends', 'alcohol', 'related', 'harm', 'link', 'comments']",3
“The Bermuda Assessment Referral Center (BARC) has reported that amongst all new clients,alcohol,alcohol_1,"['bermuda', 'assessment', 'referral', 'center', 'barc', 'reported', 'amongst', 'new', 'clients']",3
"• 
It’s harder for doctors to diagnose serious conditions such as head injuries when a 
patient is drunk.",alcohol,alcohol_0,"['harder', 'doctors', 'diagnose', 'serious', 'conditions', 'head', 'injuries', 'patient', 'drunk']",2
"The report revealed that out of these accidents, an average of nine deaths and 47 injuries 
occurrences in a year, with a massive 57 percent of these accidents related to alcohol.",alcohol,alcohol_0,"['report', 'revealed', 'accidents', 'average', 'nine', 'deaths', 'injuries', 'occurrences', 'year', 'massive', 'percent', 'accidents', 'related', 'alcohol']",3
